id,Tienda
297,DULCERIA JUNIOR
298,COMERCIALIZADORA KIN
299,BAJAS JEWELS
300,CREACIONES JOYERIA PADILLA
301,ALEXANDER JOYEROS
302,JOYERIA GEMA
303,JOYERIA Y REGALOS MONTE CARLO
304,HILTON JOYERIAS
305,JOYERIA MONTECARLO
306,JOYERIA MONTECARLO
307,JOYERIA SANDOVAL
308,EL TRIUNFO
309,MERCADO Y CARNICERIA LA FIESTA
310,MERCADO EL AVENTURERO
311,CAMPOS REYEROS Y CIA S.A. DE C.V. Y/O COMEX
312,PASSARELA Y/O LUZ INES DE LA TOBA AMADOR
313,ANGELA GUADALUPE ANAYA GOROSAVE Y/O COMPANY STORE NIÑAS
314,ANGELA GUADALUPE ANAYA GOROSAVE Y/O COMPANY STORE NIÑAS
315,OXXO CAMINO REAL Y/O CADENA COMERCIAL OXXO  S.A. DE C.V.
316,OXXO ARCOIRIS Y/O CADENA COMERCIAL OXXO  S.A. DE C.V.
317,OXXO ESMERALDA Y/O CADENA COMERCIAL OXXO  S.A. DE C.V.
318,OXXO PINO PALLAS Y/O CADENA COMERCIAL OXXO S.A. DE C.V.
319,OXXO AYUNTAMIENTO Y/O CADENA COMERCIAL OXXO S.A. DE C.V.
320,OXXO ATARDECERES Y/O CADENA COMERCIAL OXXO S.A. DE C.V.
321,DULCEROS DE BAJA CALIFORNIA SUR  S.A. DE C.V. Y/O BODEGON DULCERO
322,LA RANITA DISTRIBUCIONES S. DE R.L. DE C.V. Y/O EL DESCONTON
323,LURAIMA  S.A. DE C.V. (DULCERIA LA CONEJA)
324,LA RANITA DISTRIBUCIONES  S. DE R. L. DE C.V.
325,FRANCISCO DE JESUS AGUIRRE VAZQUEZ Y/O DULCERIA BETO'S
326,MARCO DAHI DOMINGUEZ HIGUERA Y/O DULCERIA OSCARIN
327,ANTONIA LUCERO ANGULO Y/O MEGA DULCERIA SOTRES 2
328,OXXO PADRE KINO Y/O CADENA COMERCIAL OXXO  S.A. DE C.V.
329,OXXO SUR Y/O CADENA COMERCIAL OXXO  S.A. DE C.V.
330,OXXO LA FUENTE Y/O CADENA COMERCIAL OXXO S.A. DE C.V.
331,OXXO EL PALMAR Y/O CADENA COMERCIAL OXXO S.A. DE C.V.
332,OXXO ALLENDE Y/O CADENA COMERCIAL OXXO  S.A.D E C.V.
333,OXXO 20 DE NOVIEMBRE Y/O CADENA COMERCIAL OXXO  S.A. DE C.V.
334,OXXO SALINAS LEAL Y/O CADENA COMERCIAL OXXO  S.A. DE C.V.
335,ADELA GERALDO MORALES Y/O DULCERIA DULCE
336,DULCES ROSSY  S.A. DE C.V.
337,OXXO KINO Y/O CADENA COMERCIAL OXXO S.A. DE C.V.
338,OXXO BRAVO Y/O CADENA COMERCIAL OXXO S.A. DE C.V.
339,OXXO MARGARITA MAZA Y/O CADENA COMERCIAL OXXO  S.A. DE C.V.
340,JESUS ENRIQUE DUARTE GOMEZ Y/O  DULCERIA LA RANITA
341,ANTONIA LUCERO ANGULO Y/O MEGA DULCERIA SOTRES
342,MARIA ELVIA PEREZ VALENZUELA  Y/O DULCERIA EL VENADITO
343,DULCES SEMILLAS Y PLASTICOS  DÖAZ SC DE R.L. DE C.V. Y/O DULCERIA LA PIÑATA
344,DULCERIA ALADINOS S.A. DE C.V.
345,TIENDAS CHEDRAUI S.A. DE C.V.
346,LA PAZ COMERCIAL  S.A. (ALMACENES EL AGUILA)
347,COPPEL  S.A. DE C.V.
348,ELEKTRA DEL MILENIO  S.A. DE C.V.
349,SEARS OPERADORA  MEXICO  S.A. DE C.V. Y/O SEARS
350,HERMANOS BATTA S.A. DE C.V. Y/O B HERMANOS
351,GRUPO CALZAPATO S.A.DE C.V.
352,BAJA STAR   CORP  S.A. DE C.V.
353,COMERCIALIZADORA DAX S.A. DE C.V.  Y/O TIENDA DAX
354,MARIA ISABEL ANGULO LUCERO Y/O DULCES Y SEMILLAS LOS PEQUES
355,INSTALACIONES TECNICAS CALIFORNIA S.A. DE C.V.
356,OXXO CORTINEZ  Y/O CADENA COMERCIAL OXXO  S.A. DE C.V.
357,OXXO TUNA Y/O CADENA COMERCIAL OXXO  S.A. DE C.V.
358,CADENA COMERCIAL OXXO S.A. DE C.V. Y/O OXXO LAZARO CARDENAS
359,APPLEMEX  S.A. DE C.V. Y/O APPLEBEE ' S   SUCURSAL LA PAZ
360,NAYTA  S.A. DE C.V. (RESTAURANT EL AURA)
361,HOTELES Y RESTAURANTES  S.A. DE C.V. (RESTAURANTE)
362,JOKTAN ELBERT Y/O RESTAURANT BAR FRITZ
363,LAURA ELENA CARRILLO CASTILLO Y/O ASADERO RANCHO VIEJO 2
364,CASA LEY  S.A. DE C.V.
365,ANTONIA LUCERO ANGULO Y/O MEGA DULCERIA SOTRES 2
366,CARLOS ARAMBURO  S.A. DE C.V. Y/O SUPERMERCADO ARAMBURO FORJADORES
367,ALISER FELIX ORTEGA Y/O ALISER  S.A. DE C.V.
368,TIENDAS CHEDRAUI S.A. DE C.V.
369,TIENDAS SORIANA  S.A. DE C.V. Y/O SUCURSAL EL MEZQUITITO (621)
370,TIENDAS SORIANA S.A. DE C.V. Y/O CITY CLUB
371,TIENDAS SORIANA  S.A. DE C.V.
372,TIENDAS SORIANA S.A. DE C.V. Y/O SORIANA LA BALLENA (521)
373,NUEVA WALMART DE MEXICO  S. DE R.L. DE C.V. Y/O WALMART SUPER CENTER
