id,Producto,Tienda,Estado,Incumplimiento
13501,BEBIDAS,ABARROTES Y CREMERIA ARELY Y/O UBALDO SERRANO MORALES,MEXICO,0
13502,BEBIDAS,ABARROTES Y CREMERIA ARELY Y/O UBALDO SERRANO MORALES,MEXICO,0
13503,PRODUCTOS ALIMENTICIOS,VINOS Y LICORES EL PROGRESO Y/ MARIA DE LA LUZ MORENO,MEXICO,0
13504,TORTILLAS DE HARINA,VINOS Y LICORES EL PROGRESO Y/ MARIA DE LA LUZ MORENO,MEXICO,0
13505,BEBIDAS,VINOS Y LICORES EL PROGRESO Y/ MARIA DE LA LUZ MORENO,MEXICO,0
13506,ACEITE COMESTIBLE,VINOS Y LICORES EL PROGRESO Y/ MARIA DE LA LUZ MORENO,MEXICO,0
13507,CHILES,ABARROTES Y CREMERIA EL CHARRO Y/O TOMAS GUTIERREZ RUIZ,MEXICO,0
13508,CHILES,ABARROTES Y CREMERIA EL CHARRO Y/O TOMAS GUTIERREZ RUIZ,MEXICO,0
13509,LEGUMBRES ENLATADAS,ABARROTES Y CREMERIA EL CHARRO Y/O TOMAS GUTIERREZ RUIZ,MEXICO,0
13510,LEGUMBRES ENLATADAS,ABARROTES Y CREMERIA EL CHARRO Y/O TOMAS GUTIERREZ RUIZ,MEXICO,0
13511,PRENDAS DE VESTIR,NUEVA WAL MART DE MEXICO  S. DE R. L.. DE C. V.,MEXICO,0
13512,PLAYERAS,NUEVA WAL MART DE MEXICO  S. DE R. L.. DE C. V.,MEXICO,0
13513,PANTALON,NUEVA WAL MART DE MEXICO  S. DE R. L.. DE C. V.,MEXICO,0
13514,PRENDAS DE VESTIR,NUEVA WAL MART DE MEXICO  S. DE R. L.. DE C. V.,MEXICO,0
13515,PRENDAS DE VESTIR,TIENDA SORIANA  Y/O TIENDAS SORIANA  S. A. DE C. V.,MEXICO,0
13516,TRAJE DE BAÑO,TIENDA SORIANA  Y/O TIENDAS SORIANA  S. A. DE C. V.,MEXICO,0
13517,PLAYERAS,TIENDA SORIANA  Y/O TIENDAS SORIANA  S. A. DE C. V.,MEXICO,0
13518,BOLSO PARA DAMA,COMERCIALIZADORA DOMARTS  S. A. DE C. V.,MEXICO,0
13519,BOLSO PARA DAMA,COMERCIALIZADORA DOMARTS  S. A. DE C. V.,MEXICO,0
13520,ZAPATOS,COMERCIALIZADORA DOMARTS  S. A. DE C. V.,MEXICO,0
13521,CINTURON DE PIEL,COMERCIALIZADORA DOMARTS  S. A. DE C. V.,MEXICO,0
13522,FRIJOLES,NUEVA WAL MART DE MEXICO  S DE R.L. DE C. V.,MEXICO,0
13523,ACEITE COMESTIBLE,NUEVA WAL MART DE MEXICO  S DE R.L. DE C. V.,MEXICO,0
13524,SOPA DE PASTA,NUEVA WAL MART DE MEXICO  S DE R.L. DE C. V.,MEXICO,0
13525,ATUN,NUEVA WAL MART DE MEXICO  S DE R.L. DE C. V.,MEXICO,0
13526,ATUN,NUEVA WAL MART DE MEXICO  S DE R.L. DE C. V.,MEXICO,0
13527,ACEITE COMESTIBLE,TIENDAS COMERCIAL MEXICANA  S. A. DE C. V.,MEXICO,0
13528,FRIJOLES,TIENDAS COMERCIAL MEXICANA  S. A. DE C. V.,MEXICO,0
13529,VERDURAS ENLATADAS,TIENDAS COMERCIAL MEXICANA  S. A. DE C. V.,MEXICO,0
13530,ATUN,TIENDAS COMERCIAL MEXICANA  S. A. DE C. V.,MEXICO,0
13531,ATUN,TIENDAS COMERCIAL MEXICANA  S. A. DE C. V.,MEXICO,0
13532,FRIJOLES,MISCELANEA TIO PONCHO Y/O FRANCISCO JAVIER MONTAÑO ALVAREZ,MEXICO,0
13533,BEBIDAS,MISCELANEA TIO PONCHO Y/O FRANCISCO JAVIER MONTAÑO ALVAREZ,MEXICO,0
13534,NECTAR,MISCELANEA TIO PONCHO Y/O FRANCISCO JAVIER MONTAÑO ALVAREZ,MEXICO,0
