id,Estado
701,CAMPECHE
702,CAMPECHE
703,CAMPECHE
704,CAMPECHE
705,CAMPECHE
706,CAMPECHE
707,CAMPECHE
708,CAMPECHE
709,CAMPECHE
710,CAMPECHE
711,CAMPECHE
712,CAMPECHE
713,CAMPECHE
714,CAMPECHE
715,CAMPECHE
716,CAMPECHE
717,CAMPECHE
718,CAMPECHE
719,CAMPECHE
720,CAMPECHE
721,CAMPECHE
722,CAMPECHE
723,CAMPECHE
724,CAMPECHE
725,CAMPECHE
726,CAMPECHE
727,CAMPECHE
728,CAMPECHE
729,CAMPECHE
730,CAMPECHE
731,CAMPECHE
732,CAMPECHE
733,CAMPECHE
734,CAMPECHE
735,CAMPECHE
736,CAMPECHE
737,CAMPECHE
738,CAMPECHE
739,CAMPECHE
740,CAMPECHE
741,CAMPECHE
742,CAMPECHE
743,CAMPECHE
744,CAMPECHE
745,CAMPECHE
746,CAMPECHE
747,CAMPECHE
748,CAMPECHE
749,CAMPECHE
750,CAMPECHE
751,CAMPECHE
752,CAMPECHE
753,CAMPECHE
754,CAMPECHE
755,CAMPECHE
756,CAMPECHE
757,CAMPECHE
758,CAMPECHE
759,CAMPECHE
760,CAMPECHE
761,CAMPECHE
762,CAMPECHE
763,CAMPECHE
764,CAMPECHE
765,CAMPECHE
766,CAMPECHE
767,CAMPECHE
768,CAMPECHE
769,CAMPECHE
770,CAMPECHE
771,CAMPECHE
772,CAMPECHE
773,CAMPECHE
774,CAMPECHE
775,CAMPECHE
776,CAMPECHE
777,CAMPECHE
778,CAMPECHE
779,CAMPECHE
780,CAMPECHE
781,CAMPECHE
782,CAMPECHE
783,CAMPECHE
784,CAMPECHE
785,CAMPECHE
786,CAMPECHE
787,CAMPECHE
788,CAMPECHE
789,CAMPECHE
790,CAMPECHE
791,CAMPECHE
792,CAMPECHE
793,CAMPECHE
794,CAMPECHE
795,CAMPECHE
796,CAMPECHE
797,CAMPECHE
798,CAMPECHE
799,CAMPECHE
800,CAMPECHE
801,CAMPECHE
802,CAMPECHE
803,CAMPECHE
804,CAMPECHE
805,CAMPECHE
806,CAMPECHE
807,CAMPECHE
808,CAMPECHE
809,CAMPECHE
810,CAMPECHE
811,CAMPECHE
812,CAMPECHE
813,CAMPECHE
814,CAMPECHE
815,CAMPECHE
816,CAMPECHE
817,CAMPECHE
818,DISTRITO FEDERAL
819,DISTRITO FEDERAL
820,DISTRITO FEDERAL
821,DISTRITO FEDERAL
822,DISTRITO FEDERAL
823,DISTRITO FEDERAL
824,DISTRITO FEDERAL
825,DISTRITO FEDERAL
826,DISTRITO FEDERAL
827,DISTRITO FEDERAL
828,DISTRITO FEDERAL
829,DISTRITO FEDERAL
830,DISTRITO FEDERAL
831,DISTRITO FEDERAL
832,DISTRITO FEDERAL
833,DISTRITO FEDERAL
834,DISTRITO FEDERAL
835,DISTRITO FEDERAL
836,DISTRITO FEDERAL
837,DISTRITO FEDERAL
838,DISTRITO FEDERAL
839,DISTRITO FEDERAL
840,DISTRITO FEDERAL
841,DISTRITO FEDERAL
842,DISTRITO FEDERAL
843,DISTRITO FEDERAL
844,DISTRITO FEDERAL
845,DISTRITO FEDERAL
846,DISTRITO FEDERAL
847,DISTRITO FEDERAL
848,DISTRITO FEDERAL
849,DISTRITO FEDERAL
850,DISTRITO FEDERAL
851,DISTRITO FEDERAL
852,DISTRITO FEDERAL
853,DISTRITO FEDERAL
854,DISTRITO FEDERAL
855,DISTRITO FEDERAL
856,DISTRITO FEDERAL
857,DISTRITO FEDERAL
858,DISTRITO FEDERAL
859,DISTRITO FEDERAL
860,DISTRITO FEDERAL
861,DISTRITO FEDERAL
862,DISTRITO FEDERAL
863,DISTRITO FEDERAL
864,DISTRITO FEDERAL
865,DISTRITO FEDERAL
866,DISTRITO FEDERAL
867,DISTRITO FEDERAL
868,DISTRITO FEDERAL
869,DISTRITO FEDERAL
870,DISTRITO FEDERAL
871,DISTRITO FEDERAL
872,DISTRITO FEDERAL
873,DISTRITO FEDERAL
874,DISTRITO FEDERAL
875,DISTRITO FEDERAL
876,DISTRITO FEDERAL
877,DISTRITO FEDERAL
878,DISTRITO FEDERAL
879,DISTRITO FEDERAL
880,DISTRITO FEDERAL
881,DISTRITO FEDERAL
882,DISTRITO FEDERAL
883,DISTRITO FEDERAL
884,DISTRITO FEDERAL
885,DISTRITO FEDERAL
886,DISTRITO FEDERAL
887,DISTRITO FEDERAL
888,DISTRITO FEDERAL
889,DISTRITO FEDERAL
890,DISTRITO FEDERAL
891,DISTRITO FEDERAL
892,DISTRITO FEDERAL
893,DISTRITO FEDERAL
894,DISTRITO FEDERAL
895,DISTRITO FEDERAL
896,DISTRITO FEDERAL
897,DISTRITO FEDERAL
898,DISTRITO FEDERAL
899,DISTRITO FEDERAL
900,DISTRITO FEDERAL
901,DISTRITO FEDERAL
902,DISTRITO FEDERAL
903,DISTRITO FEDERAL
904,DISTRITO FEDERAL
905,DISTRITO FEDERAL
906,DISTRITO FEDERAL
907,DISTRITO FEDERAL
908,DISTRITO FEDERAL
909,DISTRITO FEDERAL
910,DISTRITO FEDERAL
911,DISTRITO FEDERAL
912,DISTRITO FEDERAL
913,DISTRITO FEDERAL
914,DISTRITO FEDERAL
915,DISTRITO FEDERAL
916,DISTRITO FEDERAL
917,DISTRITO FEDERAL
918,DISTRITO FEDERAL
919,DISTRITO FEDERAL
920,DISTRITO FEDERAL
921,DISTRITO FEDERAL
922,DISTRITO FEDERAL
923,DISTRITO FEDERAL
924,DISTRITO FEDERAL
925,DISTRITO FEDERAL
926,DISTRITO FEDERAL
927,DISTRITO FEDERAL
928,DISTRITO FEDERAL
929,DISTRITO FEDERAL
930,DISTRITO FEDERAL
931,DISTRITO FEDERAL
932,DISTRITO FEDERAL
933,DISTRITO FEDERAL
934,DISTRITO FEDERAL
935,DISTRITO FEDERAL
936,DISTRITO FEDERAL
